place_id,lng,lat
ChIJEdQbplsPZ0gRjDxUvwJKrvs,-6.2321254,53.3642186
ChIJEX-Q4l4NZ0gRw6gZZmmDe4c,-6.2800126,53.3427731
ChIJRxEZJiIMZ0gRA0p2cwqxSHk,-6.2734941,53.3361636
ChIJU-wTe28OZ0gRoHgIkBAc7cA,-6.2551565,53.3678746
ChIJIyVHWo8NZ0gRd2AXxDSnOT8,-6.2832885,53.3515161
ChIJw0B_s7cOZ0gR-psFBsrYsvA,-6.2371476,53.3225186
ChIJN2tjpooPZ0gRnUiQFNRspXw,-6.2713578,53.3647017
ChIJWX2RAWAOZ0gR9XmdZskEo9Q,-6.2434409,53.3573049
ChIJfTBwfEQOZ0gRCorvrLaHaAk,-6.2388813,53.3708556
ChIJ_QL6cwANZ0gRSeyHmA7JYGI,-6.2979656,53.3882967
ChIJe0G8co0OZ0gRxf715xh7VN8,-6.2434425,53.3476604
ChIJSVZoJNEPZ0gRHeAGaN6TZlA,-6.2542912,53.3691996
ChIJhUenEJwJZ0gRj8UKEifhiFQ,-6.2456645,53.2938473
ChIJneme09gNZ0gR-JQU69I8Ksk,-6.272503,53.3602467
ChIJ1U31lMYOZ0gRL-FPr1gwm-Y,-6.230903,53.3292724
ChIJxcjQ95MOZ0gRqzdjufL7vwI,-6.2450577,53.340926
ChIJ40O1eIMOZ0gRjDej1H9r50o,-6.2623083,53.3478889
ChIJ-Uzl0JYNZ0gRt3CrF8K_YtA,-6.2921337,53.3342596
ChIJ5bcYUXwOZ0gRNHrK4P68hmU,-6.2613676,53.3593665
ChIJj38h6aUOZ0gR0EVMOuhtPdc,-6.2554204,53.3253642
ChIJlQdgcJEJZ0gRC-Y3sl1p698,-6.2465154,53.3136023
ChIJXXFEUGkOZ0gR5WsrJWcIrNc,-6.2524988,53.3722742
ChIJWQO9y5wOZ0gRDUWJDEpAPoE,-6.2632768,53.3451399
ChIJ_Qba2ZwOZ0gR0x_AEbhQUr4,-6.2644199,53.3445888
ChIJa4Y4WyIPZ0gRNahnyCEDSoE,-6.2658641,53.3387359
ChIJGdXBsjt32jER5rwEuhhHvWU,103.6217117,1.6036577
ChIJmwT4rpwOZ0gRODNIA5Wrng8,-6.2619472,53.3449778
ChIJYf5MZokPZ0gR98s5sJ9hwLY,-6.2644577,53.3571202
